date_time,hosts_throughput_limit
2024-05-04 15:39:13.654474,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 60000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:39:35.259534,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 55000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:39:42.758392,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 50000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:39:54.915367,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 45000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:40:12.828206,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 42000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:40:24.262502,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 40000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:40:46.778782,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 41000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 21000.0}]"
2024-05-04 15:41:05.293312,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 43000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 21000.0}]"
2024-05-04 15:41:17.636831,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 45000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 22000.0}]"
2024-05-04 15:41:57.469953,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 40000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 22000.0}]"
2024-05-04 15:42:10.981917,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 42000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 22000.0}]"
2024-05-04 15:42:25.702919,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 44000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 24000.0}]"
2024-05-04 15:43:01.665148,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 45000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 25000.0}]"
2024-05-04 15:43:36.16214,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 45000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:44:22.580771,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 40000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:44:37.858648,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 42000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 22000.0}]"
2024-05-04 15:44:46.605459,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 45000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 24000.0}]"
2024-05-04 15:45:03.409231,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 45000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:45:35.015582,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 40000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:46:01.359082,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 42000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 21000.0}]"
2024-05-04 15:46:19.891307,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 44000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 23000.0}]"
2024-05-04 15:38:50.503233,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 50000}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000}]"
2024-05-04 15:46:27.658073,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 40000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 23000.0}]"
2024-05-04 15:46:37.951369,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 42000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 23000.0}]"
2024-05-04 15:46:55.918886,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 44000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 25000.0}]"
2024-05-04 15:47:15.854094,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 42000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 25000.0}]"
2024-05-04 15:47:23.30397,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 44000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 25000.0}]"
2024-05-04 15:47:32.281426,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 46000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 25000.0}]"
2024-05-04 15:47:43.980608,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 43000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 25000.0}]"
